n,avg_time,avg_adds,avg_muls
10000, 0.000104, 10000.000000, 10000.000000
20000, 0.000108, 20000.000000, 20000.000000
30000, 0.000085, 30000.000000, 30000.000000
40000, 0.000114, 40000.000000, 40000.000000
50000, 0.000144, 50000.000000, 50000.000000
60000, 0.000175, 60000.000000, 60000.000000
70000, 0.000222, 70000.000000, 70000.000000
80000, 0.000240, 80000.000000, 80000.000000
90000, 0.000278, 90000.000000, 90000.000000
100000, 0.000321, 100000.000000, 100000.000000
110000, 0.000351, 110000.000000, 110000.000000
120000, 0.000366, 120000.000000, 120000.000000
130000, 0.000382, 130000.000000, 130000.000000
140000, 0.000413, 140000.000000, 140000.000000
150000, 0.000450, 150000.000000, 150000.000000
160000, 0.000462, 160000.000000, 160000.000000
170000, 0.000496, 170000.000000, 170000.000000
180000, 0.000518, 180000.000000, 180000.000000
190000, 0.000590, 190000.000000, 190000.000000
200000, 0.000582, 200000.000000, 200000.000000
210000, 0.000615, 210000.000000, 210000.000000
220000, 0.000640, 220000.000000, 220000.000000
230000, 0.000680, 230000.000000, 230000.000000
240000, 0.000721, 240000.000000, 240000.000000
250000, 0.000729, 250000.000000, 250000.000000
260000, 0.000767, 260000.000000, 260000.000000
270000, 0.000790, 270000.000000, 270000.000000
280000, 0.000833, 280000.000000, 280000.000000
290000, 0.000862, 290000.000000, 290000.000000
300000, 0.000891, 300000.000000, 300000.000000
310000, 0.000902, 310000.000000, 310000.000000
320000, 0.000960, 320000.000000, 320000.000000
330000, 0.001002, 330000.000000, 330000.000000
340000, 0.001036, 340000.000000, 340000.000000
350000, 0.001032, 350000.000000, 350000.000000
360000, 0.001115, 360000.000000, 360000.000000
370000, 0.001078, 370000.000000, 370000.000000
380000, 0.001128, 380000.000000, 380000.000000
390000, 0.001203, 390000.000000, 390000.000000
400000, 0.001167, 400000.000000, 400000.000000
410000, 0.001245, 410000.000000, 410000.000000
420000, 0.001230, 420000.000000, 420000.000000
430000, 0.001257, 430000.000000, 430000.000000
440000, 0.001300, 440000.000000, 440000.000000
450000, 0.001303, 450000.000000, 450000.000000
460000, 0.001348, 460000.000000, 460000.000000
470000, 0.001390, 470000.000000, 470000.000000
480000, 0.001442, 480000.000000, 480000.000000
490000, 0.001451, 490000.000000, 490000.000000
500000, 0.001481, 500000.000000, 500000.000000
510000, 0.001490, 510000.000000, 510000.000000
520000, 0.001659, 520000.000000, 520000.000000
530000, 0.001589, 530000.000000, 530000.000000
540000, 0.001622, 540000.000000, 540000.000000
550000, 0.001631, 550000.000000, 550000.000000
560000, 0.001651, 560000.000000, 560000.000000
570000, 0.001751, 570000.000000, 570000.000000
580000, 0.001767, 580000.000000, 580000.000000
590000, 0.001756, 590000.000000, 590000.000000
600000, 0.001851, 600000.000000, 600000.000000
610000, 0.001783, 610000.000000, 610000.000000
620000, 0.001825, 620000.000000, 620000.000000
630000, 0.001900, 630000.000000, 630000.000000
640000, 0.001884, 640000.000000, 640000.000000
650000, 0.001955, 650000.000000, 650000.000000
660000, 0.001999, 660000.000000, 660000.000000
670000, 0.001987, 670000.000000, 670000.000000
680000, 0.002089, 680000.000000, 680000.000000
690000, 0.002111, 690000.000000, 690000.000000
700000, 0.002093, 700000.000000, 700000.000000
710000, 0.002478, 710000.000000, 710000.000000
720000, 0.002166, 720000.000000, 720000.000000
730000, 0.002186, 730000.000000, 730000.000000
740000, 0.002191, 740000.000000, 740000.000000
750000, 0.002192, 750000.000000, 750000.000000
760000, 0.002277, 760000.000000, 760000.000000
770000, 0.002279, 770000.000000, 770000.000000
780000, 0.002340, 780000.000000, 780000.000000
790000, 0.002400, 790000.000000, 790000.000000
800000, 0.002462, 800000.000000, 800000.000000
810000, 0.002438, 810000.000000, 810000.000000
820000, 0.002498, 820000.000000, 820000.000000
830000, 0.002469, 830000.000000, 830000.000000
840000, 0.002471, 840000.000000, 840000.000000
850000, 0.002528, 850000.000000, 850000.000000
860000, 0.002661, 860000.000000, 860000.000000
870000, 0.002870, 870000.000000, 870000.000000
880000, 0.002960, 880000.000000, 880000.000000
890000, 0.002685, 890000.000000, 890000.000000
900000, 0.002643, 900000.000000, 900000.000000
910000, 0.002715, 910000.000000, 910000.000000
920000, 0.002725, 920000.000000, 920000.000000
930000, 0.002790, 930000.000000, 930000.000000
940000, 0.002866, 940000.000000, 940000.000000
950000, 0.002891, 950000.000000, 950000.000000
960000, 0.002876, 960000.000000, 960000.000000
970000, 0.002933, 970000.000000, 970000.000000
980000, 0.003017, 980000.000000, 980000.000000
990000, 0.002994, 990000.000000, 990000.000000
1000000, 0.002960, 1000000.000000, 1000000.000000
